11,31.5
12,35.8
01,34.3
02,35.5
03,35.5
04,28.7
05,25.6
06,21.0
07,19.4
08,26.0
09,29.3
10,31.4
11,32.6
12,34.8
01,36.9
02,35.2
03,35.4
04,28.5
05,20.6
06,18.7
07,20.0
08,20.4
09,27.5
10,31.0
11,30.3
12,35.4
01,36.4
02,31.2
03,32.6
04,28.1
05,22.9
06,18.1
07,19.1
08,23.5
09,29.2
10,29.9
11,34.9
12,35.5
01,34.4
02,34.0
03,31.5
04,27.4
05,23.0
06,22.3
07,17.9
08,25.1
09,27.0
10,27.1
11,31.9
12,33.3
01,35.3
02,31.8
03,28.7
04,25.0
05,24.8
06,18.8
07,21.9
08,23.1
09,27.1
10,29.0
11,34.4
12,34.3
01,37.7
02,35.2
03,32.3
04,26.6
05,23.2
06,21.5
07,20.8
08,19.6
09,23.5
10,28.9
11,31.2
12,34.1
01,33.7
02,34.7
03,29.9
04,26.9
05,22.0
06,18.9
07,18.8
08,23.0
09,26.2
10,31.8
11,34.1
12,35.3
01,34.9
02,30.9
03,28.3
04,25.3
05,20.4
06,15.7
07,20.1
08,22.2
09,24.2
10,32.3
11,33.2
12,36.0
01,36.8
02,34.2
03,29.0
04,26.4
05,23.6
06,16.5
07,17.9
08,21.0
09,27.2
10,28.0
11,32.5
12,33.0
01,35.3
02,35.7
03,35.3
04,27.1
05,22.1
06,20.2
07,19.6
08,20.5
09,28.5
10,30.9
11,34.6
12,34.8
01,35.9
02,35.2
03,33.1
04,27.0
05,22.8
06,20.5
07,16.0
08,20.5
09,26.5
10,29.3
11,31.3
12,35.8
01,33.5
02,31.5
03,34.7
04,29.6
05,22.6
06,21.7
07,19.4
08,21.5
09,25.8
10,32.1
11,33.3
12,34.8
01,34.6
02,33.5
03,34.9
04,26.8
05,23.4
06,18.8
07,20.1
08,20.8
09,25.6
10,29.7
11,32.6
12,35.8
01,37.3
02,36.3
03,30.4
04,27.1
05,21.4
06,20.5
07,16.9
08,25.2
09,28.2
10,31.9
11,33.1
12,35.4
01,35.7
02,36.4
03,31.0
04,28.9
05,22.5
06,17.3
07,19.4
08,20.4
09,23.4
10,29.2
11,33.3
12,36.7
01,38.2
02,35.9
03,33.2
04,30.8
05,24.1
06,22.7
07,15.1
08,22.3
09,27.5
10,32.6
11,35.0
12,34.2
01,35.4
02,36.0
03,34.1
04,29.3
05,26.3
06,19.2
07,21.2
08,22.8
09,23.6
10,31.1
11,34.0
12,34.4
01,37.3
02,36.3
03,32.5
04,28.4
05,20.9
06,19.0
07,19.6
08,23.3
09,26.8
10,32.0
11,35.3
12,34.1
01,36.8
02,35.8
03,33.8
04,28.6
05,19.5
06,19.1
07,21.5
08,20.5
09,26.3
10,29.6
11,33.6
12,34.5
01,36.1
02,34.9
03,34.4
04,30.4
05,22.0
06,20.6
07,18.3
08,21.3
09,28.3
10,32.0
11,33.6
12,36.5
01,34.8
02,36.6
03,31.6
04,27.4
05,22.1
06,21.4
07,19.1
08,19.8
09,25.7
10,31.4
11,34.7
12,35.9
01,37.0
02,37.7
03,33.6
04,26.1
05,23.1
06,19.6
07,20.4
08,22.4
09,27.7
10,30.6
11,33.6
12,35.9
01,36.3
02,34.5
03,33.3
04,28.9
05,20.8
06,20.6
07,22.1
08,22.8
09,26.5
10,28.2
11,32.5
12,34.6
01,36.4
02,38.0
03,32.9
04,27.6
05,25.3
06,19.6
07,18.0
08,23.3
09,28.3
10,31.5
11,33.8
12,36.0
01,33.0
02,35.0
03,32.9
04,28.9
05,21.4
06,21.0
07,18.3
08,17.1
09,25.8
10,28.6
11,32.4
12,33.1
01,37.4
02,30.9
03,28.5
04,28.5
05,24.0
06,18.3
07,18.7
08,22.3
09,27.3
10,34.2
11,34.4
12,35.5
01,36.0
02,35.8
03,33.8
04,30.0
05,18.8
06,21.2
07,15.9
08,19.9
09,24.0
10,29.6
11,33.1
12,33.2
01,38.5
02,32.9
03,32.0
04,28.8
05,23.9
06,19.7
07,19.4
08,22.8
09,25.2
10,32.5
11,34.5
12,35.7
01,37.9
02,36.3
03,32.5
04,27.9
05,22.0
06,23.5
07,19.7
08,21.7
09,24.7
10,31.9
11,32.2
12,34.6
01,38.7
02,37.0
03,33.3
04,26.8
05,24.3
06,17.6
07,19.6
08,22.4
09,28.6
10,33.2
11,33.8
12,35.0
01,35.7
02,34.6
03,30.8
04,26.8
05,22.0
06,20.8
07,20.1
08,23.7
09,27.1
10,32.8
11,34.5
12,38.4
01,37.8
02,34.8
03,34.1
04,30.4
05,25.1
06,19.7
07,21.1
08,21.8
09,25.9
10,30.3
11,32.2
12,34.1
01,31.1
02,30.0
03,30.6
04,25.1
05,21.2
06,19.3
07,22.7
08,21.9
09,23.1
10,28.0
11,32.0
12,34.7
01,35.9
02,31.9
03,31.9
04,28.6
05,25.2
06,20.2
07,22.4
08,22.1
09,26.8
10,27.7
11,33.4
12,33.1
01,30.7
02,31.4
03,29.8
04,27.0
05,21.9
06,19.5
07,20.0
08,22.8
09,27.4
10,28.0
11,32.2
12,37.3
01,36.5
02,34.3
03,30.8
04,27.1
05,23.3
06,19.8
07,19.3
08,26.5
09,25.2
10,31.9
11,33.0
12,35.0
01,36.0
02,37.0
03,34.1
04,28.5
05,23.0
06,19.6
07,18.3
08,19.4
09,24.6
10,29.2
11,31.5
12,35.8
01,37.0
02,34.1
03,33.8
04,28.4
05,19.7
06,21.5
07,20.8
08,24.1
09,28.0
10,31.3
11,36.6
12,37.3
01,37.7
02,37.5
03,35.7
04,30.2
05,24.1
06,20.7
07,19.5
08,24.0
09,30.7
10,30.8
11,36.5
12,37.0
01,35.2
02,35.1
03,31.6
04,31.0
05,23.8
06,20.4
07,19.6
08,24.8
09,28.0
10,30.3
11,31.6
12,35.8
01,37.4
02,32.5
03,28.2
04,27.1
05,24.2
06,18.9
07,19.3
08,24.6
09,24.6
10,29.8
11,35.1
12,36.8
01,36.0
02,39.1
03,31.1
04,23.1
05,22.0
06,19.7
07,17.5
08,22.9
09,29.2
10,30.9
11,34.9
12,36.3
01,32.1
02,35.9
03,32.1
04,28.0
05,24.9
06,19.9
07,17.9
08,23.7
09,24.2
10,30.3
11,35.1
12,36.3
01,38.6
02,37.5
03,34.2
04,27.4
05,23.2
06,17.8
07,21.1
08,24.9
09,25.4
10,29.6
11,34.2
12,37.5
01,36.5
02,38.0
03,36.2
04,27.9
05,25.7
06,18.5
07,16.6
08,20.7
09,26.2
10,29.8
11,32.0
12,35.4
01,37.4
02,34.0
03,31.2
